問題作成フォーマット,,,,作成者：,,,,,,
,,,,,,,,,,
,ジャンル別作成数：,文学：0 言語：0 地理：0 歴史：0 公民：0 自然科学：0 生活：0 スポーツ：0 アニメ・ゲーム・漫画：0 芸能：0 音楽：0 芸術：0 ノンセクション：0,,,,,,,,
,,,,,,,,,,
No.,メインジャンル,サブジャンル,問題文,答え,別解、スペルなど,字数,解説、備考,汎用番号(abc番号),ランダム用,通し番号
1,選択してください,,「親不孝をするとこれができる」という迷信がある/、水分や油分の不足によって、爪の根元あたりを覆っている表皮が避けてしまった状態の事を何と言うでしょう？,ささくれ,,75,,,,1
2,選択してください,,バスケットボールで、トラベリングを防/ぐため、片足を軸にして体を回転させるテクニックを何と言うでしょう？,ピボットターン,,52,,,,2
3,選択してください,,従来は最も下の段に設けられていたが、近年は中段に設けられているものも多い、家庭/用の冷蔵庫において、通常の冷蔵室よりも温度と湿度が少し高めに設定された部屋のことを何と言うでしょう？,野菜室,,90,,,,3
4,選択してください,,日本語では松毯（しょうきゅう）模様や勾玉模様などと呼ばれる、ネクタイやカーテンに見られる模様の一種を繊維業が盛んであったスコットラン/ドの町の名前から何と言うでしょう？,ペイズリー,,84,,,,4
5,選択してください,,童謡『おもちゃのチャチャチャ』と『ドレミの歌』の日本語版の歌詞に、共通して登場する楽器は何でしょう？,ラッパ,,50,,,,5
6,選択してください,,イタリア語で「引きちぎる」という意味が/ある、水牛の乳から作られるのが特徴の、イタリア原産のフレッシュチーズは何でしょう？,モッツァレラチーズ,,61,,,,6
7,選択してください,,社会主義団体のフェビアン協定を基盤としている、現在のイギリスで保守党と共に二大政党を形成する政党は何でしょう？,労働党,,55,,,,7
8,選択してください,,1932年、軍部の海軍将校たちによっ/て、当時の首相・犬養毅が殺害されたクーデターの事を、発生した日付から「何事件」というでしょう？,五・一五事件,,66,,,,8
9,選択してください,,金森商船が管理する函館市のものや、横浜・みなとみらいのものが特に有名な、明治から大正期/にかけて作られた倉庫のことを、その外壁の素材と色から何というでしょう？,赤レンガ倉庫,,79,,,,9
10,選択してください,,2016年、田中角栄の生涯を描いた小説『天才』がベストセラーとなった、作家・政治家は誰でしょう？/,石原慎太郎,いしはらしんたろう,49,,,,10
11,選択してください,,団体の旅行における添乗員（てんじょういん）のこと/を「ツアコン」といいますが、これは何という言葉の略でしょう？,ツアーコンダクター,,55,,,,11
12,選択してください,,初代は三升屋勝松が、現在は6代目の山田隆夫が務め/る、日本テレビの番組『笑点』の役職は何でしょう？,座布団運び,,49,,,,12
13,選択してください,,地球の自転周期と/ほぼ同じ速さで公転しているため、地上からは動かないように見える人工衛星の事を何と言うでしょう？,静止衛星,,56,,,,13
14,選択してください,,元々はその年の終わりの時期を指す言葉であるが、現在では一年/でお世話になった人に贈る贈り物の事を指すようになった言葉は何でしょう？,お歳暮,おせいぼ,65,,,,14
15,選択してください,,その園内には、メルパスク東京、増上寺、東京タワーなどが建っている、東京都港区にある巨大公園は何でしょう？,芝公園,,52,,,,15
16,選択してください,,2004年のアテネ五輪から、2016年のリオデジャネイロ五輪にかけて、日本人選手としては初の個人種目４連覇を達成した女子レスリング選手は誰でしょう？,伊調馨,いちょうかおり,74,,,,16
17,選択してください,,ゲーム『たまごっち』シリーズで、生まれたばかりのたまごっちを「ベビっち」といいますが、完全に成長した大人のたまごっちの事を何と言うでしょう？,アダルトっち,,70,,,,17
18,選択してください,,「♪隠しきれない移り香が、いつしかあなたにしみつい/た」という歌い出しで始まる、石川さゆりの代表曲である演歌は何でしょう？,天城越え,あまぎごえ,61,,,,18
19,選択してください,,1915年に大隈重信内閣が袁世凱（えんせいがい）に/対して示した、中国国内における日本の検疫に関する要求のことを、提示された要求の数から一般に何と言うでしょう？,二十一箇条の要求,,80,,,,19
20,選択してください,,マンションなどの高層建築の最上階に設けられる、テラスやバルコニーが併設された最高級/住宅の事を何と言うでしょう？,ペントハウス,,56,,,,20
